Component,References,MFGR,MPN,Value,Tolerance,Desc,Footprint,Stock,Stock Date,Quantity Per PCB,Unit Cost
69,R4 R16 R424 R428 R432 R436 R440 R444 R448,YAGEO,RC0805FR-071RL,1 Ohm,1%,RES 1 OHM 1% 1/8W 0805,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,937292,09/15/2023,9,0.10
70,R97 R98,Bourns Inc.,CMP0805-FX-10R0ELF,10 Ohm,1%,RESHIGHPOWER 0805 10R 1% 1/2W TC,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,18681,11/23/2023,2,0.11
71,R23 R24 R27 R43 R44 R47 R59 R60 R63 R71 R131 R134 R165 R166 R169 R177 R178 R181 R209 R210 R213 R221 R222 R225 R253 R254 R257 R265 R266 R269 R297 R298 R301 R309 R310 R313 R341 R342 R345 R353 R354 R357 R385 R386 R389 R397 R398 R401,ROHM Semiconductor,ESR18EZPF24R9,24.9 Ohm,1%,RES SMD 24.9 OHM 1% 1/2W 1206,R_1210_3225Metric_Pad1.30x2.65mm_HandSolder,44987,10/12/2023,48,0.17
72,R6,YAGEO,RC0805FR-07324RL,324 Ohms,1%,RES 324 OHM 1% 1/8W 0805,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,168723,08/29/2024,1,0.1
73,R17 R29 R30 R37 R49 R50 R53 R65 R136 R140 R148 R149 R159 R171 R183 R184 R192 R193 R203 R215 R227 R228 R236 R237 R247 R259 R271 R272 R280 R281 R291 R303 R315 R316 R324 R325 R335 R347 R359 R360 R368 R369 R379 R391 R403 R404 R412 R413,YAGEO,RC0805FR-07510RL,510 Ohm,1%,RES 510 OHM 1% 1/8W 0805,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,101449,10/13/2023,48,0.1
74,R118 R120,Panasonic,RC0805FR-07649RL,649 Ohms,1%,RES 649 OHM 1% 1/8W 0805,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,51394,11/22/2023,2,0.1
75,R51 R137 R157 R201 R245 R289 R333 R377,YAGEO,RC0805FR-07732RL,732 Ohms,1%,RES 732 OHM 1% 1/8W 0805,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,98698,08/29/2024,8,0.1
76,R3 R7,Stackpole Electronics Inc,RNCP0805FTD1K50,1.5k,1%,RES SMD 1.5K OHM 0.5% 1/4W 0805,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,81929,04/12/2020,2,0.25
77,R9 R12,Yageo,RC0805FR-072KL,2k,1%,RES 2K OHM 1% 1/8W 0805,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,449183,08/31/2023,2,0.1
78,R13 R421 R425 R429 R433 R437 R441 R445,Stackpole Electronics Inc,RMCF0805FT2K20,2.2k,1%,RES 2.2K OHM 1% 1/8W 0805,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,204832,08/29/2024,8,0.1
79,R5,YAGEO,RC0805FR-073K48L,3.48k,1%,RES 3.48K OHM 1% 1/8W 0805,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,151006,08/29/2024,1,0.1
80,R79 R138 R139 R143 R152 R187 R196 R231 R240 R275 R284 R319 R328 R363 R372 R407 R416,Yageo,RC0805FR-074K75L,4.75k,1%,RES 4.75K OHM 1% 1/8W 0805,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,333490,11/22/2023,17,0.10
81,R10,Stackpole Electronics Inc,RMCF0805FT6K65,6.65k,1%,RES 6.65K OHM 1% 1/8W 0805,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,138592,08/29/2024,1,0.10
82,R8,Yageo,RC0805FR-077K5L,7.5k,1%,RES 7.5K OHM 1% 1/8W 0805,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,349822,06/20/2024,1,0.1
83,R15 R423 R427 R431 R435 R439 R443 R447,YAGEO,RC0805JR-078K2L,8.2k,1%,RES 8.2K OHM 5% 1/8W 0805,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1639877,09/17/2023,8,0.10
84,R1 R2 R18 R19 R20 R21 R22 R25 R26 R28 R38 R39 R40 R41 R42 R45 R46 R48 R54 R55 R56 R57 R58 R61 R62 R64 R66 R67 R68 R69 R70 R80 R81 R82 R83 R84 R85 R86 R87 R88 R89 R90 R91 R92 R93 R94 R95 R96 R99 R100 R101 R102 R103 R104 R105 R106 R107 R108 R109 R110 R111 R112 R113 R114 R115 R116 R117 R122 R123 R124 R125 R126 R127 R128 R129 R130 R132 R133 R135 R160 R161 R162 R163 R164 R167 R168 R170 R172 R173 R174 R175 R176 R179 R180 R182 R204 R205 R206 R207 R208 R211 R212 R214 R216 R217 R218 R219 R220 R223 R224 R226 R248 R249 R250 R251 R252 R255 R256 R258 R260 R261 R262 R263 R264 R267 R268 R270 R292 R293 R294 R295 R296 R299 R300 R302 R304 R305 R306 R307 R308 R311 R312 R314 R336 R337 R338 R339 R340 R343 R344 R346 R348 R349 R350 R351 R352 R355 R356 R358 R380 R381 R382 R383 R384 R387 R388 R390 R392 R393 R394 R395 R396 R399 R400 R402,Yageo,RC0805FR-0710KL,10k,1%,RES SMD 10K OHM 1% 1/8W 0805,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,30814943,03/04/2020,175,0.10
85,R33 R74 R144 R153 R188 R197 R232 R241 R276 R285 R320 R329 R364 R373 R408 R417,Stackpole Electronics Inc,RMCF0805FT10K7,10.7k,1%,RES 10.7K OHM 1% 1/8W 0805,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,82740,08/29/2024,16,0.10
86,R11,Yageo,RC0805FR-0714KL,14k,1%,RES 14K OHM 1% 1/8W 0805,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,163973,11/23/2023,1,0.1
87,R34 R75 R145 R154 R189 R198 R233 R242 R277 R286 R321 R330 R365 R374 R409 R418,Stackpole Electronics Inc,RMCF0805FT27K4,27.4k,1%,RES 27.4K OHM 1% 1/8W 0805,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,131062,08/29/2024,16,0.1
88,R52 R78 R158 R202 R246 R290 R334 R378,Yageo,RC0805FR-0739KL,39k,1%,RES 39K OHM 1% 1/8W 0805,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,211669,10/12/2023,8,0.10
89,R36 R77 R147 R156 R191 R200 R235 R244 R279 R288 R323 R332 R367 R376 R411 R420,Panasonic Electronic Components,ERJ-6ENF4122V,41.2k,1%,RES SMD 41.2K OHM 1% 1/8W 0805,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,56508,08/29/2024,16,0.1
90,R32 R73 R142 R151 R186 R195 R230 R239 R274 R283 R318 R327 R362 R371 R406 R415,YAGEO,RC0805FR-0768K1L,68.1k,1%,RES 68.1K OHM 1% 1/8W 0805,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,219817,09/17/2023,16,0.1
91,R14 R422 R426 R430 R434 R438 R442 R446,YAGEO,RC0805FR-0771K5L,71.5k,1%,RES 71.5K OHM 1% 1/8W 0805,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,229895,09/19/2023,8,0.02
92,R119 R121,Yageo,RC0805FR-07100KL,100k,1%,RES 100K OHM 1% 1/8W 0805,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,3152360,11/22/2023,2,0.10
93,R31 R72 R141 R150 R185 R194 R229 R238 R273 R282 R317 R326 R361 R370 R405 R414,YAGEO,RC0805FR-131ML,1M,1%,RES 1M OHM 1% 1/8W 0805,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,55662,09/17/2023,16,0.1
94,SW1,Omron Electronics,B3FS-1012P,RESET,,SWITCH TACTILE SPST-NO 0.05A 24V,SW_SPST_Omron_B3FS-1012P,132519,11/22/2023,1,0.68
95,TP1 TP2 TP3 TP4 TP5 TP6 TP7 TP8 TP9 TP10 TP11 TP12 TP13 TP14 TP15 TP16 TP17 TP18 TP19 TP20 TP21 TP22 TP23 TP24 TP25 TP26 TP27 TP28 TP29 TP30 TP31 TP32 TP33 TP34 TP35 TP36 TP37 TP38 TP39 TP40 TP41 TP42 TP43 TP44 TP45 TP46 TP47,Harwin Inc.,S1751-46R,8.8V,,PC TEST POINT NATURAL,Harwin_TP_S1751-46R,137718,11/23/2023,47,0.26
96,U36 U44 U45 U54 U70 U81 U97 U108 U124 U135 U151 U162 U178 U189 U205 U216,Texas Instruments,SN74LVC1G14DBVT,74LVC1G14,,IC INVERTER 1CH 1-INP SOT23-5,SOT-23-5_HandSoldering,62774,01/29/2024,16,0.46
97,U7 U227 U228 U229 U230 U231 U232 U233,Rohm Semiconductor,BD00C0AWFP-CE2,BD00C0AWFP,,IC REG LINEAR POS ADJ 1A TO252-5,TO-252-4_Thermal_Vias,3683,11/23/2023,8,1.12
98,U4,ROHM Semiconductor,BD33C0AFP-CE2,BD33C0AFP,,IC REG LINEAR 3.3V 1A TO252-3,TO-252-3,7544,09/22/2023,1,1.21
99,U13 U25 U43 U56 U72 U83 U99 U110 U126 U137 U153 U164 U180 U191 U207 U218,Mini-Circuits,DAT-15R5A-PP+,DAT-15R5A-PP+,,"15.5 dB SMT Digital Step Attenuator, DC - 4000 MHz, 50Ω",DG983-2,2286,11/20/2023,16,4.78
100,U9 U17 U21 U29 U33 U49 U51 U60 U67 U76 U78 U87 U94 U103 U105 U114 U121 U130 U132 U141 U148 U157 U159 U168 U175 U184 U186 U195 U202 U211 U213 U222,Mini-Circuits,DAT-31A-PP+,DAT-31A-PP+,,"31 dB SMT Digital Step Attenuator, DC - 4000 MHz, 50Ω",DG983-2,5247,11/30/2023,32,4.78
101,U1 U2 U3,Analog Devices,DS18B20U+,DS18B20U,,"TEMP SENSOR, 55 ~ 125C, 1-WIRE DIGITAL",MSOP-8_3x3mm_P0.65mm,3721,11/22/2023,3,4.89
102,U11 U15 U16 U23 U27 U28 U35 U47 U48 U53 U58 U59 U69 U74 U75 U80 U85 U86 U96 U101 U102 U107 U112 U113 U123 U128 U129 U134 U139 U140 U150 U155 U156 U161 U166 U167 U177 U182 U183 U188 U193 U194 U204 U209 U210 U215 U220 U221,Mini-Circuits,GALI-74+,GALI-74+,,"SMT Low Noise Amplifier, DC - 1000 MHz, 50Ω",MCL_Gali,1228,11/23/2023,48,2.84
103,U12 U14 U24 U26 U37 U46 U55 U57 U71 U73 U82 U84 U98 U100 U109 U111 U125 U127 U136 U138 U152 U154 U163 U165 U179 U181 U190 U192 U206 U208 U217 U219,Analog Devices Inc.,HMC194AMS8ETR,HMC194AMS8,,IC RF SWITCH SPDT 3GHZ 8MSOP,MSOP-8_3x3mm_P0.65mm,2056,11/23/2023,32,4.47
104,U31 U39 U65 U92 U119 U146 U173 U200,Analog Devices Inc./Maxim Integrated,MAX7301AAI+,MAX7301AAI+,,I/O Expander 20 SPI 26 MHz 28-SSOP,SSOP-28_5.3x10.2mm_P0.65mm,1443,11/23/2023,8,6.78
105,U8 U10 U20 U22 U32 U34 U50 U52 U66 U68 U77 U79 U93 U95 U104 U106 U120 U122 U131 U133 U147 U149 U158 U160 U174 U176 U185 U187 U201 U203 U212 U214,pSemi,PE42540G-Z,PE42540,,IC RF SWITCH SP4T 8GHZ 32LGA,LGA-32-1EP_5x5mm_P0.5mm_EP3.08x3.08mm,5294,11/23/2023,32,8.49
106,U41,Microchip Technology,PIC16F15386-I/PT,PIC16F15386-xPT,,IC MCU 8BIT 28KB FLASH 48TQFP,TQFP-48_7x7mm_P0.5mm,1603,11/22/2023,1,1.69
107,U42,Texas Instruments,SN74LVC16244ADGGR,SN74LVC16244ADGGR,,IC BUF NON-INVERT 3.6V 48TSSOP,TSSOP-48_6.1x12.5mm_P0.5mm,1590,11/23/2023,1,0.90
108,U40,Texas Instruments,THVD1450DR,THVD1450DR,,IC TRANSCEIVER HALF 1/1 8-SOIC,SOIC-8_3.9x4.9mm_P1.27mm,55032,11/22/2023,1,2.28
109,U5 U6,Texas Instruments,TL431CDBZR,TL431DBZ,NA,IC VREF SHUNT 36V 2.2% SOT23-3,SOT-23,63199,4/8/2020,2,0.43
110,U19 U38 U62 U64 U89 U91 U116 U118 U143 U145 U170 U172 U197 U199 U224 U226,Texas Instruments,TPS16412DRCR,TPS16412,,Electronic Fuse Regulator High-Side 1.8A 10-VSON (3x3),Texas_S-PVSON-N10_ThermalVias,1919,09/17/2023,16,1.37





Component Groups:,110
Component Count:,2750
Fitted Components:,2750
Number of PCBs:,1
Total components:,2750
Schematic Version:,2.0
Schematic Date:,2024-07-31
PCB Variant:,default
BoM Date:,2024-10-27T16:57:11-0400
Schematic Source:,ARX.kicad_sch
KiCad Version:,Eeschema 8.0.6-unknown-202410270734~d1684b8a72~ubuntu20.04.1
